#Name	PubChem
(6alphaS,11alphaS)-2-dimethylallyl-3,6alpha,9-trihydroxypterocarpan	10617107
(6alphaS,11alphaS)-4-dimethylallyl-3,6alpha,9-trihydroxypterocarpan	11954192
(7R)-trans-hinokiresinol	6438674
(7S)-cis-hinokiresinol	5281830
(7S)-trans-hinokiresinol	12310493
(8E,10E)-dodeca-8,10-dienol	1787910
(8R)-HPETE	21158605
(8S,9S,10S)-8,10-dimethyl-1-octalin	16667386
(9Z)-tetradecenol	5364712
(9Z,11E)-tetradeca-9,11-dien-1-yl acetate	6441057
(E) gamma-bisabolene	5352437
(E)-2,4-dihydroxycinnamate	54708747
(E)-2-(methoxycarbonylmethyl)butenedioate	21158529
(E)-2-epi-beta-caryophyllene	6429274
(E)-2-hexenal	5281168
(E)-2-hexenol	5318042
(E)-2-pentenal	5364752
(E)-2-pentenol	5364920
(E)-3-(methoxycarbonyl)pent-2-enedioate	23615417
(E)-alpha-bisabolene	5315468
(E)-beta-farnesene	5281517
(E)-beta-ocimene	5281553
(E)-dec-3-en-2-one	5363233
(E)-non-3-en-2-one	5317045
(E,E)-alpha-farnesene	5281516
(E,E)-geranyllinalool	5365872
(E,E)-germacrene B	5281519
(R)-1,2-epoxypropane	146261
(R)-10-Hydroxystearate	5459807
(R)-2,3-dihydroxy-3-methylpentanoate	21145376
(R)-2-benzylsuccinate	6944015
(R)-2-hydroxy-4-methylpentanoate	92779
(R)-2-hydroxybutanoate	6994379
(R)-2-hydroxyglutarate	5460200
(R)-2-hydroxyisocaproate	6951542
(R)-2-hydroxystearate	21145040
(R)-3,3-dimethylmalate	21145004
(R)-3-((R)-3-hydroxybutanoyloxy)-butanoate	9548723
(R)-3-(4-hydroxyphenyl)lactate	9548632
(R)-3-hydroxy-3-methyl-2-oxopentanoate	20846131
(R)-3-hydroxybutanoate	6971058
(R)-4-hydroxymandelate	5460030
(R)-acetoin	439314
(R)-benzoin	640038
(R)-cembrene A	10061805
(R)-citramalate	5460281
(R)-lactaldehyde	439350
(R)-lactate	5460179
(R)-malate	5459794
(R)-mandelate	5460269
(R)-mevalonate	5288798
(R)-pantoate	5289105
(R)-pantolactone	439368
(R)-phenyllactate	5461132
(R)-propane-1,2-diol	259994
(R,R)-2,3-butanediol	225936
(R,S)-2,3-butanediol	220010
(S)-1,2-epoxypropane	146262
(S)-1-phenylethanol	443135
(S)-2-aceto-2-hydroxybutanoate	21145135
(S)-2-acetolactate	13999770
(S)-2-hydroxybutanoate	6971087
(S)-2-hydroxyglutarate	5460355
(S)-2-hydroxystearate	21145041
(S)-2-phenyloxirane	114946
(S)-3-hydroxy-isobutanoate	20848931
(S)-3-hydroxybutanoate	6971271
(S)-3-methyl-2-oxopentanoate	6857401
(S)-4-hydroxymandelate	5460397
(S)-acetoin	447765
(S)-beta-bisabolene	10104370
(S)-citramalate	5460279
(S)-dihydrodaidzein	11492597
(S)-equol	91469
(S)-lactaldehyde	439231
(S)-lactate	5460161
(S)-malate	5459792
(S)-mandelate	5460348
(S)-propane-1,2-diol	439846
(S)-pyrethrolone	11789781
(S)-sakuranetin	73571
(S,S)-2,3-butanediol	439888
(Z) gamma-bisabolene	3033866
(Z)-2-methyl-5-isopropylhexa-2,5-dienal	5280680
(Z)-3-hexanal	643941
(Z)-9-tricosene	5365075
(Z)-beta-ocimene	5320250
(Z)-but-2-enal	643950
(Z)-but-2-enol	643789
(Z,E)-alpha-farnesene	5362889
1,1'-dihydroxy-1,1',2,2'-tetrahydrolycopene	14502754
1,1'-dihydroxy-neurosporene	16061307
1,1-kestotetraose	166775
1,16-hexadecane-diol	82184
1,18-octadecane-diol	520529
1,2,3,4,6-pentagalloylglucose	65238
1,2,3,5-tetrahydroxybenzene	12
1,2,3,6-tetrakis-O-galloyl-beta-D-glucose	73178
1,2,4-benzenetriol	10787
1,2,6-trikis-O-galloyl-beta-D-glucose	440308
1,2-benzoquinone	11421
1,2-di-O-sinapoyl-beta-D-glucose	5280665
1,2-dibutyrin	10177014
1,2-dihydrosantonin	439802
1,2-dihydroxy-6-methylcyclohexa-3,5-dienecarboxylate	21145165
1,2-dioleoylglycerol	9543716
1,2-dipalmitoylglycerol	644078
1,3,5-trimethoxybenzene	69301
1,3,6,8-naphthalenetetrol	440202
1,3,8-naphthalenetriol	22482602
1,3-propanediol	10442
1,4-benzoquinone	4650
1,4-butanediol	8064
1,4-dihydroxy-2-naphthoate	54706667
1,4-naphthoquinone	8530
1,5-anhydro-D-fructose	126517
1,5-anhydro-D-glucitol	64960
1,5-anhydro-D-mannitol	445184
1,6,6-trimethyl-2,7-dioxobicyclo-(3,2,2)nonan-3-one	440456
1,8-cineole	2758
1-18:3-2-16:0-monogalactosyldiacylglycerol	6475758
1-18:3-2-18:3-monogalactosyldiacylglycerol	21582567
1-O,6-O-digalloyl-beta-D-glucose	440221
1-O-(4-coumaroyl)-beta-D-glucose	14158117
1-O-caffeoyl-beta-D-glucose	5281761
1-O-galloyl-beta-D-glucose	124021
1-O-methylsalicylate	4133
1-O-sinapoyl-beta-D-glucose	5280406
1-deoxy-D-xylulose	9548569
1-docosanol	12620
1-dodecanol	8193
1-dotriacontanol	96117
1-ethyl-4-hydroxybenzene	31242
1-heptadecene	23217
1-heptanol	8129
1-hexacosanol	68171
1-hexadecanol	2682
1-hexanol	8103
1-hydroxy-2-naphthoate	54675865
1-hydroxy-4-oxahomoadamantan-5-one	3239817
1-hydroxyneurosporene	9915740
1-indanol	22819
1-kestotriose	440080
1-naphthaldehyde	6195
1-naphthoate	5049265
1-naphthol	7005
1-naphthol glucoside	7573796
1-nonadecene	29075
1-octacosanol	68406
1-octadecanol	8221
1-octanol	957
1-oleoyl-2-palmitoyl-glycerol	5283471
1-palmitoyl-sn-glycerol	3084463
1-pentadecanol	12397
1-pentadecene	25913
1-pentan-3-one	7288
1-phenylpropane-1,2-dione	11363
1-stearoyl-2-palmitoyl-glycerol	3246945
1-stearoyl-sn-glycerol	15560610
1-tetracosanol	10472
1-tetradecanol	8209
1-tetratriacontanol	185639
1-triacontanol	68972
10-deacetyl-2-debenzoylbaccatin III	443489
10-deacetylbaccatin III	154272
10-deoxymethynolide	5282031
10-desacetyltaxuyunnanin C	5460449
10-epi-gamma-eudesmol	5317072
10-hydroxydecanoate	6991989
10-oxodecanoate	19734156
10-trans, 12-cis-octadecanoate	5282800
10beta-hydroxytaxa-4(20),11-dien-5alpha-yl acetate	443488
11-cis-retinal	5280490
11-cis-retinol	5280382
11-cis-retinyl palmitate	5280596
11-deoxycorticosterone	6166
11-desoxycortisol	440707
11alpha-hydroxyprogesterone	440105
12-alpha-hydroxy-3 oxochola-4,6-dienoate	20848947
12-hydroxylaurate	9548810
13-apo-beta-carotenone	5363697
13-beta-D-glucosyloxydocosanoate	9548583
13-cis-retinal	6436079
13-cis-retinol	9904001
13-epi manoyl oxide	18529657
13-epi-manool	10891602
13-hydroxydocosanoate	16019973
13S-vitexifolin A	636732
14'-apo-beta-carotenal	5280992
14-demethyllanosterol	443212
14-hydroxylanosterol	22298935
15-cis-phytoene	9963391
16-alpha-hydroxyprogesterone	540627
16-alpha-hydroxysteroid	439393
16-beta-hydroxysteroid	439889
16-dehydroprogesterone	101964
16-hydroxypalmitate	7058075
16-oxosteroid	439618
17-alpha-hydroxypregnenolone	91451
17-alpha-hydroxyprogesterone	6238
17-beta-hydroxyandrostan-3-one	11302
17beta-estradiol	5757
18-hydroxycorticosterone	11222
19-hydroxyandrostenedione	252379
19-hydroxytestosterone	150968
19-oxo-testosterone	12850019
19-oxoandrostenedione	92854
1D-chiro-inositol	892
1E,8Z,11Z,14Z-heptadecatetraene	5319559
1E,8Z-heptadecadiene	5352844
2',3',4'-O-methyl-rhamnosyl tetracyclic spinosyn pseudoaglycone	11767113
2',3,4,4',6'-pentahydroxychalcone	5461154
2',4'-dihydroxyacetophenone	440082
2',4,4',6'-tetrahydroxychalcone	5280960
2',7-dihydroxy-4',5'-dimethoxyisoflavone	5316763
2'-O-methylisoliquiritigenin	5319688
2'-deoxyribose	10786
2'-hydroxydaidzein	5280520
2,2',3,3'-tetrahydroxybiphenyl	177063
2,2',3-trihydroxybiphenyl	569
2,2'-dihydroxybiphenyl	15731
2,2'-dioxospirilloxanthin	5366509
2,22,25-trideoxyecdysone	15942885
2,3',4,6-tetrahydroxybenzophenone	440991
2,3,5-trihydroxytoluene	13026
2,3-dihydrogossypetin	4478475
2,3-dihydroxy-p-cumate	54675852
2,3-dihydroxy-trans-cinnamate	54724355
2,3-dihydroxybenzoate	54675818
2,3-dimethyl-6-geranylgeranyl-1,4-benzoquinol	5327035
2,3-dioxo-L-gulonate	21145097
2,3-trans-proanthocyanidin	146798
2,4',5,7-tetrahydroxyisoflavanone	443902
2,4',7-trihydroxyisoflavanone	11459958
2,4,5-trihydroxytoluene	70758
2,4,6-octatrienoate	20267671
2,4,6-trihydroxybenzophenone	77093
2,4,6-trioxoheptanoate	9543053
2,4-dihydroxybenzoate	54712708
2,4-dihydroxyhept-2-enedioate	54724344
2,5-bis-hydroxymethylfuran	74663
2,5-didehydro-D-gluconate	9548631
2,5-dioxopentanoate	21872870
2,5-hexanedione	8035
2,6-dioxo-6-phenylhexa-3-enoate	23615309
2,6-dioxo-6-phenylhexanoate	21145055
2-(3,5-dihydroxyphenyl)-2-oxoacetate	54690921
2-(4-hydroxyphenyl)-2-oxoacetate	54720982
2-(alpha-D-glucopyranosyl)-sn-glycerol	10106330
2-(dihydroxymethyl)furan	6394751
2-benzyl-2-hydroxybutanedioate	22915920
2-butyne-1,4-diol	8066
2-cis,4-trans-xanthoxin	5282222
2-cis,6-trans-farnesol	1549108
2-cis-abscisate	7251168
2-coumarate	54693535
2-dehydro-3-deoxy-D-arabinonate	6419711
2-dehydro-3-deoxy-L-arabinonate	6857400
2-dehydro-3-deoxy-L-fuconate	9548669
2-dehydro-D-glucopyranose	439803
2-dehydropantoate	16755619
2-dehydropantolactone	39
2-deoxy-5-dehydro-D-gluconate	6857389
2-deoxy-D-glucose	9062
2-deoxy-L-scyllo-inosose	10583108
2-deoxyecdysone	13939876
2-deoxyribonolactone	161815
2-ethylhexan-1-ol	7720
2-formylbenzoate	5082939
2-furoate	5460151
2-hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone	5280827
2-hexaprenyl-6-methoxy-1,4-benzoquinone	5280826
2-hexaprenyl-6-methoxyphenol	5280825
2-hydroxy-1,4-benzoquinone	23529530
2-hydroxy-1-phenyl-1-propanone	101121
2-hydroxy-3-oxoadipate	21145045
2-hydroxy-3-oxosuccinate	18942842
2-hydroxy-4-oxobutane-1,2,4-tricarboxylate	23615207
2-hydroxy-6-(2-hydroxyphenoxy)-6-oxo-cis,cis-hexa-2,4-dienoate	54675846
2-hydroxy-6-oxo-6-(2-hydroxyphenyl)-hexa-2,4-dienoate	54707973
2-hydroxy-6-oxo-7-methyl-octa-2,4-dienoate	54675856
2-hydroxy-6-oxohepta-2,4-dienoate	54724589
2-hydroxyadipate	21126110
2-hydroxybiphenyl	7017
2-hydroxychalcone	5367146
2-hydroxychromene-2-carboxylate	9543183
2-hydroxycyclohexan-1-one	10785
2-hydroxydocosanoate	22361325
2-hydroxyformononetin	5280551
2-hydroxyhepta-2,4-dienedioate	54715389
2-hydroxyhexadecanal	18987871
2-hydroxymalonate	44
2-hydroxymethyl-4-oxobutanoate	21145077
2-hydroxymyristate	22292715
2-hydroxyphenylacetate	6933325
2-hydroxytetracosanoate	21707971
2-hydroxytridecanoate	19793105
2-isopropylmaleate	21954611
2-isopropylphenol	6943
2-keto-3-deoxy-D-glycero-D-galacto-nononate	23241229
2-keto-4-hydroxypimelate	23615324
2-keto-D-gluconate	6857381
2-keto-L-gulonate	7059386
2-maleylacetate	9543165
2-methoxy-6-(all-trans-nonaprenyl)phenol	5372355
2-methoxy-6-(all-trans-octaprenyl)phenol	5280834
2-methyl-6-geranylgeranyl-1,4-benzoquinol	14759579
2-methylbut-3-en-2-ol	8257
2-methylbutanal	7284
2-methylbutanol	8723
2-methyleneglutarate	21703573
2-methylisoborneol	16913
2-methylpentadecanal	14029652
2-methylphenol	335
2-naphthoate	4398214
2-naphthol	8663
2-naphthol glucoside	111141
2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinone	6450214
2-octaprenylphenol	5280832
2-oleoylglycerol	5319879
2-oxo-3-phenylpropanoate	4592697
2-oxo-4-carboxypent-4-enoate	21145131
2-oxo-4-phenylbutanoate	21707672
2-oxoadipate	23615192
2-oxobut-3-enanoate	9543327
2-oxobutanoate	3593277
2-oxoglutarate	164533
2-oxohept-3-enedioate	5460000
2-oxohexanoate	6419709
2-oxopent-4-enoate	9543147
2-oxopimelate	20287221
2-oxospirilloxanthin	16061269
2-oxostearate	5459883
2-oxosuberate	21122671
2-oxovalerate	5460364
2-palmitoylglycerol	123409
2-pentadecanone	61303
2-phenylethanol	6054
2-phenylethyl 6-O-beta-D-xylopyranosyl-beta-D-glucopyranoside	131129
2-phenylethyl beta-D-glucopyranoside	11044282
2-propylphenol	12570
2-protocatechuoylphloroglucinolcarboxylate	54675870
2-succinylbenzoate	5459922
2-trans,4-trans-xanthoxin	6504642
2-trans-abscisate	6925664
2-tridecanone	11622
2-undecanone	8163
20-hydroxy-3-oxopregn-4-en-21-al	440224
20-hydroxy-leukotriene B4	23615494
20-hydroxyecdysone	21362
20alpha-hydroxycortisol	256288
24,25-dihydrolanosterol	6708537
24-ethylidenelophenol	5281933
24-methylenelophenol	5283640
2D-5-O-methyl-2,3,5/4,6-pentahydroxycyclohexanone	11953802
3',4',5'-trimethylmyricetin	5481248
3',4'-dimethylquercetin	5487855
3'-hydroxyechinenone	6386523
3'-ketosucrose	440773
3,3',4',5'-tetramethylmyricetin	11417464
3,3'-dimethylquercetin	5316900
3,4'-dimethylkaempferol	5352001
3,4,3',4'-tetradehydroisozeaxanthin	10875440
3,4-didehydrorhodopin	16061249
3,4-dihydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione	440483
3,4-dihydroxymandelate	6950180
3,4-dihydroxyphenylacetaldehyde	119219
3,4-dihydroxyphenylacetate	5460350
3,4-dihydroxyphenylglycol	6951097
3,4-dihydroxyphenylpyruvate	21124401
3,5-cyclohexadiene-1,2-diol-1-carboxylate	9543121
3,5-dihydroxyanisole	71648
3,5-dihydroxybiphenyl	604248
3,5-dimethoxyphenol	10383
3,5-dimethoxytoluene	77844
3,6,7,3',4'-pentamethylquercetagetin	5320351
3,6,7,3'-tetramethylquercetagetin	5281608
3,6,7,4'-tetramethylquercetagetin	5315263
3,6,7-trimethylquercetagetin	5280699
3,6-diketocamphane	6971265
3,7,12-trioxo-5beta-cholanate	11869222
3,7,3',4'-tetramethylquercetin	5352005
3,7,3'-trimethylmyricetin	21676154
3,7,3'-trimethylquercetagetin	189065
3,7,4'-trimethylquercetagetin	442621
3,7,4'-trimethylquercetin	5280682
3,7-dimethylquercetagetin	148856
3,7-dimethylquercetin	5280417
3,9-dihydroxypterocarp-6a-en	442667
3-(2,3-dihydroxyphenyl)propanoate	9543123
3-(3-hydroxyphenyl)propanoate	6931501
3-(5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate	9543127
3-(all-trans-octaprenyl)benzene-1,2-diol	5280833
3-2-carboxyphenylcatechol	54675873
3-O-methylgallate	54707974
3-O-methylkaempferol	5280862
3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoate	15944652
3-alpha-hydroxy-5-beta-androstane-17-one	5880
3-alpha-mycarosylerythronolide B	441108
3-beta-D-galactosyl-sn-glycerol	16048618
3-beta-hydroxy-5-beta-pregnane-20-one	228491
3-carboxy-cis,cis-muconate	9543176
3-dehydro-4-methylzymosterol	22298939
3-dehydroecdysone	5460083
3-dehydroquinate	5460271
3-dehydroshikimate	5460360
3-deoxy-D-glycero-2,5-hexodiulosonate	5460345
3-deoxy-D-manno-octulosonate	5460395
3-ethylcatechol	70278
3-ethylmalate	21145023
3-fumarylpyruvate	6857354
3-hydroxy-2-methyl-3-phytyl-2,3-dihydronaphthoquinone	5280540
3-hydroxy-3-methyl-2-oxobutanoate	6419735
3-hydroxy-3-methylglutarate	5459993
3-hydroxy-3-phenylpropanoate	22328018
3-hydroxy-4-ketotorulene	10144442
3-hydroxy-5-oxohexanoate	9543231
3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione	14372344
3-hydroxy-9-apo-delta-caroten-9-one	11344809
3-hydroxy-beta-ionone	5363700
3-hydroxy-isobutanoate	11966314
3-hydroxy-trans-cinnamate	54694258
3-hydroxybenzoate	54675842
3-hydroxybenzyl alcohol	102
3-hydroxycyclohexanone	439950
3-hydroxyechinenone	10120578
3-hydroxyisovalerate	6950804
3-hydroxylubimin	21675004
3-hydroxyphenylacetate	6950813
3-hydroxypropanoate	5459847
3-hydroxypropionaldehyde	75049
3-hydroxytyrosol	82755
3-isopropylcatechol	16498
3-keto-beta-D-galactose	440653
3-methoxy-4',5-dihydroxy-trans-stilbene	5473050
3-methoxy-4-hydroxy-5-all-trans-hexaprenylbenzoate	54692918
3-methoxy-4-hydroxyphenylglycol	688030
3-methoxy-4-hydroxyphenyllactate	160637
3-methoxy-4-hydroxyphenylpyruvate	14124
3-methoxy-5-hydroxytoluene	76674
3-methoxyphenol	9007
3-methyl-2-butenal	61020
3-methyl-2-oxobutanoate	5204641
3-methyl-4-cis-hydroxy-2-butenal	12487266
3-methyl-4-trans-hydroxy-2-butenal	22841439
3-methyl-6-methoxy-2-octaprenyl-1,4-benzoquinone	5280836
3-methyl-cis,cis-muconate	9543108
3-methylbenzaldehyde	12105
3-methylbenzyl alcohol	11476
3-methylbutanal	11552
3-methylbutanol	31260
3-methylcatechol	340
3-methylphenol	342
3-octaprenyl-4-hydroxybenzoate	54685638
3-oxalomalate	5459790
3-oxo-24-ethyl-cholest-4-ene	5484202
3-oxo-24-ethyl-cholest-5-ene	9801811
3-oxo-3-phenylpropanoate	9543196
3-oxo-5beta-cholan-24-oate	9548901
3-oxo-dodecanoate	5460320
3-oxo-palmitate	17804645
3-oxoadipate	5459800
3-oxoadipate enol lactone	23615198
3-oxocholest-4-en-26-ol	15108350
3-oxodecanoate	22078585
3-oxohexanoate	11966264
3-oxooctanoate	17804644
3-oxopropanoate	9543142
3-phenylpropanoate	4740700
3-propylcatechol	3014143
3S,3'S-astaxanthin	5368397
3alpha,12alpha-dihydroxy-7-oxo-5beta-cholan-24-oate	9548790
