#Name	PubChem	Cetane	Weight
2-(1,1-dimethylethyl)-naphthalene	17889	3	0.227
2-octylnaphthalene	520388	18	0.227
2-methyl-2-phenylpentadecane	520412	39	0.227
dibutyl azelate	18016	83	0.185
cyclooctane	9266	22.3	1
methyl linolenate	5319706	37	1
butyl decanoate	35408	54.6	0.208
propyl decanoate	121739	52.9	0.208
octyl oleate	94441	131	0.185
decanoic acid	2969	48	0.185
hexyl laurate	94454	74	0.185
1,3,5-triisopropyl cyclohexane	4583934	25.3	1
dipropylene glycol monomethyl ether	66984	43.9	1
2,2,5-trimethylhexane	19041	24	0.227
propyl stearate	77190	91	0.064
decyl laurate	119003	84	0.185
1-hexadecanol	2682	68	0.064
propyl laurate	77255	71	0.185
decyl oleate	5363234	134	0.185
propyl linoleate	53645533	42.5	0.064
farnesane (2,6,10-trimethyldodecane)	19773	58.55	1
decyl myristate	170588	72	0.185
hexyl myristate	170623	72	0.185
hexyl palmitate	162505	87	0.185
decyl palmitate	98603	91	0.185
2,2,4,4,6,8,8-heptamethylnonane	20414	14.65	1
3-cyclohexylhexane	20283	36	0.227
n-butyldecalin	145243	31	0.227
sec-butyldecalin	145244	34	0.227
tert-butyldecalin	141340	24	0.227
2-phenyltetradecane	20642	49	0.227
2-phenylundecane	20656	51	0.227
linolenic acid	5280934	20	0.064
2,2,3-trimethylbutane	10044	12.9	1
1,2,4,5-tetramethylbenzene	10263	1	0.185
7,8-diethyltetradecane	530299	67	0.227
linoleyl alcohol	5365682	44	0.064
linolenyl alcohol	6436081	41	0.064
1-butoxy-2-propanol	21210	36.1	1
octyl laurate	79185	84	0.185
trilinolein	5322095	32	0.064
trilaurin	10851	100	0.064
n-pentylbenzene	10864	8.5	0.227
ethyl pentanoate	10882	18.6	1
ethyl levulinate	10883	5	1
2,2,4-trimethylpentane	10907	18.04	1
diisoamylether	10989	96.3	1
ethyl linoleate	5282184	44.4	0.208
n-hexadecane	11006	100.5	1
octyl valerate	79545	49	0.185
tristearin	11146	85	0.064
tripalmitin	11147	89	0.064
trimyristin	11148	100	0.064
2,3-dimethylpentane	11260	22	1
stearic acid	5281	62	0.064
Perhydro-phenanthrene	21971	38.8	1
2,6-dimethylnaphthalene	11387	-7	0.185
butyl octanoate	11517	39.6	0.208
4-methyl-1-cyclohexene	11572	52	0.185
butyl pentanoate	61137	23.5	1
2-methylhexane	11582	43.5	1
2-methylheptane	11594	49.8	1
1-hexene	11597	25.8	1
1-heptene	11610	32	1
n-octadecane	11635	106.3	0.227
tributyrin	6050	-5	0.185
diethyl ether	3283	140	0.227
linoleic acid	5280450	31	0.064
5-butyldodecane	529854	45	0.227
3-ethylpentane	12048	34.1	1
diethyl azelate	12204	47	0.185
methyl pentanoate	12206	13.3	1
diethyl succinate	12329	15	0.185
diisobutylether	12346	59.7	1
1-heptyne	12350	22	1
ethyl palmitate	12366	93	0.064
2-nonanol	12367	39.6	1
n-tridecane	12388	89.5	0.227
n-tetradecane	12389	85.1	1
n-pentadecane	12391	96.5	0.227
hexadecyl acetate	12393	86	0.185
1-hexadecene	12395	75.9	1
n-heptadecane	12398	105	0.227
n-nonadecane	12401	110	0.227
tetradecyl acetate	12531	81	0.185
ethanol	702	7	0.227
isobutyl stearate	12588	99	0.064
methanol	887	3.33	0.227
methyl sorbate	5323650	6	1
dipentyl ether	12743	120.5	0.227
n-propanol	1031	12	0.227
n-butanol	263	12	1
1-pentanol	6276	18.2	0.208
benzene	241	14.3	0.208
1,3,5-triisopropylbenzene	12860	2.8	1
n-propane	6334	-20	0.227
t-butanol	6386	17	0.227
2,2-dimethylbutane	6403	24.4	1
methyl ricinoleate	5354133	37.4	1
2-phenyloctane	276115	33	0.227
isobutanol	6560	8.5	1
2-butanol	6568	8.5	1
.-pinene	6654	25	1
hexadecyl laurate	88709	88	0.185
1-undecene	13190	65.5	0.227
octadecyl acetate	69968	90	0.185
dihexyl phthalate	6786	48	0.185
dibutyl phthalate	3026	38	0.185
1-decene	13381	49.1	1
