ID	>= 1 O	>= 1 any ring size 3	>= 1 any ring size 5	>= 1 any ring size 6	>= 1 any ring size 7	>= 1 any ring size 8	>= 1 aromatic ring	>= 1 hetero-aromatic ring	>= 1 saturated or aromatic carbon-only ring size 3	>= 1 saturated or aromatic carbon-only ring size 5	>= 1 saturated or aromatic carbon-only ring size 6	>= 1 saturated or aromatic carbon-only ring size 7	>= 1 saturated or aromatic carbon-only ring size 8	>= 1 saturated or aromatic heteroatom-containing ring size 5	>= 16 H	>= 2 O	>= 4 C	>= 8 C	>= 8 H	Auto-Ignition	Boiling Point	C(-C)(-C)(=C)	C(-C)(-C)(=O)	C(-C)(-H)(=C)	C(-C)(-H)(=O)	C(-C)(-O)(=O)	C(-C)(=C)	C(-C)(=O)	C(-H)(=C)	C(-H)(=O)	C(-O)(=O)	C(:C)(:C)	C(~C)(:C)	C(~C)(:C)(:C)	C(~C)(~C)	C(~C)(~C)(~C)	C(~C)(~C)(~C)(~C)	C(~C)(~C)(~C)(~H)	C(~C)(~C)(~C)(~O)	C(~C)(~C)(~H)(~O)	C(~C)(~C)(~O)	C(~C)(~H)(~O)	C(~C)(~O)	C(~H)(:C)	C(~H)(:C)(:C)	C(~H)(~H)(~H)	C(~H)(~O)	C(~O)(:C)	C(~O)(:C)(:C)	C(~O)(~O)	C-C(C)(C)-C-C	C-C(C)-C(C)-C	C-C(C)-C-C	C-C(C)-C-C-C	C-C-C(C)-C-C	C-C-C-C-C	C-C-C-C-C-C	C-C-C-C-C-C(C)-C	C-C-C-C-C-C-C	C-C-C-C-C-C-C-C	C-C-C-C:C	C-C-C-O-[#1]	C-C-C:C-C	C-C-C=C	C-C-C=C-C	C-C-O-C-C	C-C-O-C:C	C-C:C-C-C	C-C:C-C:C	C-C:C-O-C	C-C:C:C-C	C-C=C-C	C-C=C-C-C	C-C=C-C:C	C-C=C-C=C	C-O	C-O-C-C:C	C-O-C-C=C	C-O-C:C-C	C-O-C=C	C:C-C-C	C:C-C-C-C	C:C-C-C:C	C:C-C:C	C:C-C=C	C:C-C=C-C	C:C-O-C	C:C-O-C-C	C=C	C=C-C-C	C=C-C-C-C	C=C-C-O-C	C=C-C-O-[#1]	C=C-C:C	C=C-C=C	C=O	CC1C(C)CCC1	CC1C(C)CCCC1	CC1CC(C)CC1	CC1CC(C)CCC1	CC1CCC(C)CC1	Cc1c(C)cccc1	Cc1ccc(C)cc1	Complexity	Defined Bond Stereocenter Count	Density	Exact Mass	Flash Point	Heavy Atom Count	Hydrogen Bond Acceptor Count	Hydrogen Bond Donor Count	LogP	Melting Point	Molecular Weight	Monoisotopic Mass	O(:C)(:C)	O(~C)(~C)	O(~C)(~H)	O-C-C-C-C	O-C-C-C-C-C	O-C-C-C-C-C-C	O-C-C-C:C	O-C-C-C=C	O-C-C:C	O-C-C:C-C	O-C-C=C	O-C-C=C-C	O-C:C-C	O-C:C-C-C	O-C:C-[#1]	O-C:C:C-C	O-C=C-C	O-H	O=C-C-C	O=C-C-C-C	O=C-C-C-C-C	O=C-C-C:C	O=C-C:C	O=C-C:C-C	O=C-C=C	O=C-C=C-C	O=C-C=C-[#1]	Rotatable Bond Count	Topological Polar Surface Area	Undefined Atom Stereocenter Count	Undefined Bond Stereocenter Count	Vapor Density	Vapor Pressure	XLogP3	XLogP3-AA	[#1]-C-C=C-[#1]	[#1]-C-O-[#1]	[#1]-C=C-[#1]
11216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	229.2317	89.9424	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	88.2	0	0.8451	112.1252	2.6689	8	0	0	2.0238	-109.4831	112.2126	112.1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1.5312	412.2986	1.9867	3.9	1	0	0
11233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	403.2501	79.0077	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.1	0	0.8368	114.1409	-6.9073	8	0	0	1.4465	-88.1162	114.2285	114.1409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3.0612	245.1022	1.4199	4.1	0	0	0
11239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	689	20.1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0.6213	70.0782	20	5	0	0	2.2194	-168.5	70.1329	70.0782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2.5059	903	2.4092	2.2	1	0	1
11240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	422.1294	31.2	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	35.3	0	0.6504	70.0782	-20	5	0	0	2.9503	-137.5	70.1329	70.0782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3.5387	610	2.79	2.5	1	0	0
11249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	361.3163	63.2661	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	51.1	0	0.761	84.0939	-12.9451	6	0	0	2.6742	-127.0337	84.1595	84.0939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2.1468	706.7137	2.8	3.4728	1	0	0
11250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	333.1199	73.6531	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50.1	0	0.8144	84.0939	-9.8525	6	0	0	2.5972	-110.2783	84.1595	84.0939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7632	605.5503	2.2711	2.9	0	0	0
11251	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	-16.7778	94.33	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	55	0	0.8501	86.0732	11.1111	6	1	0	0.84	-93.1	86.1323	86.0732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	17.1	0	0	1	52.5	0.8	4.0157	0	0	0
11255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	370.1879	74.7684	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56.9	0	0.7717	114.1409	-7.2515	8	0	0	2.4615	-110.9688	114.2285	114.1409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2.3741	469.7338	2.4061	3.8	0	0	0
11260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	208.2264	95.465	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.3	0	0.8749	100.1252	5.7562	7	0	0	1.9205	-103.4831	100.2019	100.1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1.2871	387.2517	1.8839	3.4	0	0	0
11269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	416.6711	108.7293	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.1	0	0.7971	114.1409	14.9212	8	0	0	2.74	-83.4082	114.2285	114.1409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2.9196	54.0753	2.4984	3.7	0	0	0
11270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	415.4967	110.1656	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	92.6	0	0.7933	112.1252	23.0616	8	0	0	2.8197	-83.1506	112.2126	112.1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2.9291	52.3631	2.333	3.7	0	0	0
11271	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	335.5529	73.4038	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	72.4	0	0.7919	114.1045	-9.4011	8	1	0	2.692	-108.2931	114.1855	114.1045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	17.1	0	0	1.9146	631.3129	1.9	3.34	0	0	0
11416	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	519.1317	108.8615	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	56.4	0	0.732	112.1252	12.6086	8	0	0	1.5503	-57.5276	112.2126	112.1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2.6671	243.0923	1.2376	3.8	0	0	0
11447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	575.2149	91.4308	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0.7448	114.1409	2.0104	8	0	0	1.3544	-97.0864	114.2285	114.1409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	3.0475	252.8729	1.4823	4	0	0	0
11507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	500.2275	45.1923	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0.7207	100.1252	7.8732	7	0	0	1.6148	-98.1985	100.2019	100.1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1.5753	1276.4286	2.1085	3.7	0	0	0
11511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	269.9048	103.1928	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0.9253	114.1409	9.4668	8	0	0	0.8192	-92.8007	114.2285	114.1409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1.2213	358.9144	0.8284	4	0	0	0
11512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	463.2028	116.3329	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.3	0	0.8252	114.1409	18.787	8	0	0	2.5225	-91.6165	114.2285	114.1409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2.9722	50.6307	2.3493	4.3	0	0	0
11519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	167.1082	103.3187	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.3	0	0.9005	114.1409	11.5462	8	0	0	0.9814	-86.9944	114.2285	114.1409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	1.1224	250.1002	0.9708	4.3	0	0	0
11523	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	515.6204	125.9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	48.4	0	0.7275	112.1252	13.8094	8	0	0	1.3615	-87	112.2126	112.1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.597	1	1.077	3.8	0	0	0
11542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	513.2726	126.7499	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.5	0	0.747	100.1252	4.3608	7	0	0	1.1257	-65.9624	100.2019	100.1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2.9118	96.1067	1.069	3.6	0	0	0
